Word, DocumentID-Frequency of the word
a, 1-185 2-182 3-143 4-122 5-74 6-119 7-144 8-124 9-384 10-431 11-412 12-211 13-178 14-113 15-102 16-161
aaas, 10-7 12-1
aaass, 10-1
aap, 11-9
aaron, 16-1
aarons, 13-1
abandon, 8-2 14-1
abandond, 5-1 8-1
abandoned, 14-1 16-1
abarim, 13-1
abashed, 13-1 14-1 15-2 16-1
abassin, 14-1
abated, 16-1
abating, 12-1
abbana, 13-1
abbe, 11-1
abdiel, 14-5
abed, 6-1
abhor, 6-1 14-2 16-1
abhorred, 13-3 14-1
abhorrest, 16-1
abide, 2-1 13-1 14-2
abides, 13-1 16-1
ability, 9-7 10-9 11-7 12-3
abject, 13-2 15-1 16-1
abjure, 15-1
able, 1-1 6-1 9-9 10-8 11-8 12-4 13-2 14-2 16-3
abode, 13-1 14-1 15-1
abolish, 13-2 15-1
abolished, 13-1
abominable, 7-1 16-1
abominations, 13-1
abortive, 13-2 16-1
abound, 14-1 16-1
abounded, 13-1
abounds, 13-1
about, 1-30 2-16 3-23 4-25 5-1 6-3 7-1 8-2 9-33 10-36 11-41 12-13 13-5 14-9 15-15 16-5
above, 2-1 3-1 4-1 6-1 9-3 10-2 13-21 14-12 15-17 16-13
abraham, 16-5
abrahams, 16-2
abreast, 12-1
abroad, 13-1
abrupt, 13-1
abruptly, 6-1
absence, 3-1 6-1 10-1 11-2 14-1 15-4
absent, 6-2 13-1 15-1 16-1
absents, 15-1 16-1
absolute, 11-1 13-2 14-1 15-2 16-3
absolutely, 10-1 11-2 15-1
absolve, 13-1 16-1
absolved, 15-1
absorbing, 9-1
abstain, 14-1 15-1 16-2
abstained, 15-1
abstinence, 15-1
abstract, 10-1 11-2 15-1
abstracted, 15-1
abstracting, 10-1
abstraction, 9-1
abstracts, 9-2 10-1 11-3 12-5
abstruse, 15-1
abstrusest, 14-1
absurd, 1-1 2-1
abundance, 14-2 15-1
abundant, 14-1 15-1
abundantly, 15-1
abuse, 14-2
abused, 7-1 13-1
abuses, 7-2
abyss, 13-10 14-1 15-2 16-5
academic, 9-1 10-4 11-1 12-7
academics, 10-1
acanthus, 14-1
accaron, 13-1
accelerating, 9-1
accent, 7-1 13-1 15-1
accept, 9-1 10-1 11-2 13-4 14-1 15-1 16-2
acceptability, 12-1
acceptable, 9-2 11-1 12-2 16-2
acceptance, 1-1 11-1 12-1 14-1 15-1 16-3
acceptances, 11-1
accepted, 10-3 11-2 12-1 13-1 14-1 15-1 16-1
accepting, 11-1 12-2
access, 5-1 9-22 10-46 11-24 12-46 13-2 14-1 15-3 16-1
accessed, 12-4
accessibility, 11-2
accessible, 9-3 10-6 11-5 12-4 14-1
accessing, 10-1 12-2
accessories, 16-1
accident, 4-2 13-1
accidentally, 4-1
acclaim, 13-2 16-1
acclamation, 15-1
acclamations, 14-1
accommodate, 11-2 12-1
accommodated, 11-1
accommodating, 12-1
accompanied, 9-1 11-1 12-1 14-2 15-1 16-2
accompanies, 9-1
accompany, 9-1 12-1
accompanying, 9-2 10-1
accomplish, 9-1 11-3 12-1
accomplishd, 13-1
accomplished, 10-3 11-1 12-2 14-1 15-1
accomplishing, 10-1 16-1
accord, 5-1 8-1 13-2
accordance, 10-1
according, 8-3 9-4 11-3 13-1 15-1 16-2
accost, 14-1
accosts, 13-1
account, 3-1 9-4 10-1 12-1 13-1 14-4 16-1
accountable, 13-1 16-1
accounting, 4-1 10-1
accounts, 3-1
accoutrements, 7-1
accreditation, 12-1
accredited, 11-2 12-1
accuracy, 9-8 10-4 11-11 12-2
accurate, 9-2 10-1 11-1 12-2
accurately, 11-1
accursed, 13-1 14-2 15-1 16-5
accusation, 4-1 16-1
accuse, 13-1 14-1 15-1 16-3
accused, 16-2
accuser, 14-1 16-1
accustomd, 7-1
accustomed, 1-1 9-1 10-1 11-2 14-1 16-1
ache, 4-1
acheron, 13-1
achieve, 11-1 12-1 16-1
achieved, 9-1 10-4 11-3 12-2 13-3 16-4
achieving, 11-1 15-1
achilles, 15-1
acid, 9-1 10-4 11-3 12-1
acknowledge, 14-1 15-2 16-1
acknowledged, 9-2 11-2 12-3 14-1 16-2
acknowledgements, 9-3
acknowledging, 10-1 12-1
acls, 9-1
acorn, 7-1
acquaint, 5-2 16-1
acquaintance, 5-1 8-2 10-1
acquainted, 7-2 9-1
acquire, 9-1 11-4 12-2
acquires, 9-1 11-1
acquiring, 9-2 10-1 11-1 12-1
acquisition, 9-1 11-1
acquit, 5-1
acquittance, 16-1
acquitted, 16-1
acres, 8-1
acronym, 10-2
acropolis, 9-1
across, 1-2 3-2 4-1 9-5 10-16 11-2 12-1
acs, 11-9 12-2
acss, 11-1
act, 3-1 5-4 6-8 7-4 8-6 9-2 11-1 12-1 13-2 14-1 15-4 16-8
acting, 11-1
action, 8-1 9-2 11-2 12-1 13-1 14-1 15-1
actions, 6-1 7-1 15-2 16-1
active, 9-1 10-2 11-3 12-1 14-1 15-1
actively, 11-2
activities, 9-3 10-1 11-2 12-3
activity, 9-4 10-1 11-1 12-1
actor, 7-1
acts, 6-1 12-1 14-3 15-4 16-2
actual, 9-2 10-3 11-3 12-3 16-1
actually, 1-1 10-1 11-2 13-2
ada, 1-1
adam, 5-10 6-13 14-18 15-34 16-42
adamant, 13-1 14-2 16-1
adamantine, 13-3 14-1
adams, 10-1 12-2 13-3 15-3 16-2
adapt, 11-4
adaptable, 11-1
adapted, 11-1
add, 9-2 10-2 11-2 13-1 14-3 15-2 16-4
added, 1-2 2-6 3-5 4-10 9-5 10-4 11-4 12-3 14-1 15-1 16-4
adder, 15-1
adding, 2-1 11-2 12-1
addition, 9-2 10-6 12-5 14-1 15-1
additional, 9-9 10-10 11-5 12-1
address, 10-2 12-5 14-1
addressd, 8-1
addressed, 2-2 9-1 10-3 11-1 12-4 14-1 15-3 16-1
addresses, 12-2
addressing, 1-1 9-1 12-1
adds, 10-2
adept, 9-1
adequate, 10-1 11-1 12-3
adequately, 11-1
ades, 13-1
adhere, 13-1 15-1
adherents, 14-1 16-1
adhesion, 10-1
adieu, 7-3 8-1
adjacency, 12-1
adjectives, 11-1
adjoined, 15-1
adjourn, 1-1 12-1 16-1
adjudgd, 13-1
adjudged, 14-1 16-1
adjust, 12-1
adjusted, 10-1
adjusting, 10-1
adjustment, 10-1
adjustments, 9-1 10-5
administration, 9-2 10-1 12-4
administrative, 11-2
administratively, 11-1
administrator, 11-1
admiration, 13-2 15-2
admire, 13-1 15-2
admired, 7-1 13-2 14-1 15-3 16-1
admirest, 15-1
admiring, 13-2 15-2 16-1
admissibility, 11-1
admission, 9-1
admit, 15-1 16-2
admitting, 15-1
admonish, 16-1
admonished, 13-1 15-1
admonishment, 15-1
adn, 13-1
adonis, 13-1 15-1
adopted, 5-1 10-1 11-1 14-1
adopting, 10-1 11-1
adoption, 1-1 10-1 11-2
adoration, 8-1 13-1 14-2 15-1
adore, 13-5 14-1 15-5 16-1
adored, 13-1 14-3 15-1
adorers, 15-1
adoring, 14-1
adorn, 14-1 15-2
adorned, 13-4 14-3 15-5 16-2
adorns, 15-1
adramelech, 14-1
adria, 13-1
adrift, 16-1
adroit, 10-1
adult, 9-3
adulterous, 14-1
adultery, 16-1
adust, 16-1
adusted, 14-1
advance, 4-3 9-2 11-2 13-1 14-2 15-2 16-2
advanced, 9-4 10-1 12-4 13-3 14-6 15-2 16-1
advancement, 9-1 10-1 11-1 12-2
advances, 9-1 12-2
advancing, 7-1 9-1 12-1 14-1
advantage, 2-1 3-2 9-1 10-1 11-7 13-3 15-3
advantageous, 13-1
advantages, 10-12 11-4 12-1 14-1 16-1
adventure, 5-1 6-1 13-2 16-1
adventurer, 16-1
adventures, 1-1 4-6
adventurous, 13-2 14-1 15-1 16-1
adversary, 13-3 14-1 15-1 16-2
adverse, 13-3 14-2 15-1 16-3
adversity, 5-1
advice, 1-1 2-1 9-1 10-1 13-1 14-1
advisable, 1-2
advise, 1-1 11-1 13-3 14-3 15-1 16-1
advised, 9-1 14-2
adviser, 11-1 12-3
advising, 13-1
advisory, 10-1 11-3
advocate, 10-1 16-1
advocated, 10-1 11-5
advocates, 9-3
aegaean, 13-1
aeneid, 9-1
aereal, 13-1 14-1 15-1 16-1
aery, 14-6 15-2 16-1
aeschylus, 9-1
aesthetic, 12-1
aesthetics, 11-1 12-1
aetna, 13-1
afer, 16-1
affable, 15-2
affair, 4-1
affairs, 6-1 7-1 11-2 13-1 16-1
affect, 10-5 11-1 12-4 14-1 16-1
affected, 9-1 10-1
