ID, Word, DocID
1, aaa, 10 12
2, aaass, 10
3, aap, 11
4, aaron, 13 16
5, abandon, 8 14 16
6, abandond, 5 8
7, abarim, 13
8, abash, 13 14 15 16
9, abassin, 14
10, abat, 12 16
11, abb, 11
12, abbana, 13
13, abdiel, 14
14, abe, 6
15, abhor, 6 13 14 16
16, abhorrest, 16
17, abid, 2 13 14 16
18, abil, 9 10 11 12
19, abject, 13 15 16
20, abjur, 15
21, abl, 1 6 9 10 11 12 13 14 16
22, abod, 13 14 15
23, abolish, 13 15
24, abomin, 7 13 16
25, abort, 13 16
26, abound, 13 14 16
27, abov, 2 3 4 6 9 10 13 14 15 16
28, abraham, 16
29, abreast, 12
30, abroad, 13
31, abrupt, 13
32, abruptli, 6
33, absenc, 3 6 10 11 14 15
34, absent, 6 13 15 16
35, absolut, 10 11 13 14 15 16
36, absolv, 13 15 16
37, absorb, 9
38, abstain, 14 15 16
39, abstin, 15
40, abstract, 9 10 11 12 15
41, abstrus, 15
42, abstrusest, 14
43, absurd, 1 2
44, abund, 14 15
45, abundantli, 15
46, abus, 7 13 14
47, abyss, 13 14 15 16
48, ac, 11 12
49, academ, 9 10 11 12
50, acanthu, 14
51, accaron, 13
52, acceler, 9
53, accent, 7 13 15
54, accept, 1 9 10 11 12 13 14 15 16
55, access, 5 9 10 11 12 13 14 15 16
56, accessori, 16
57, accid, 4 13
58, accident, 4
59, acclaim, 13 16
60, acclam, 14 15
61, accommod, 11 12
62, accompani, 9 10 11 12 14 15 16
63, accomplish, 9 10 11 12 14 15 16
64, accomplishd, 13
65, accord, 5 8 9 10 11 13 15 16
66, accost, 13 14
67, account, 3 4 9 10 12 13 14 16
68, accoutr, 7
69, accredit, 11 12
70, accur, 9 10 11 12
71, accuraci, 9 10 11 12
72, accurs, 13 14 15 16
73, accus, 4 13 14 15 16
74, accustom, 1 9 10 11 14 16
75, accustomd, 7
76, ach, 4
77, acheron, 13
78, achiev, 9 10 11 12 13 15 16
79, achil, 15
80, acid, 9 10 11 12
81, acknowledg, 9 10 11 12 14 15 16
82, acl, 9
83, acorn, 7
84, acquaint, 5 7 8 9 10 16
85, acquir, 9 10 11 12
86, acquisit, 9 11
87, acquit, 5 16
88, acquitt, 16
89, acr, 8
90, acronym, 10
91, acropoli, 9
92, across, 1 3 4 9 10 11 12
93, acss, 11
94, act, 3 5 6 7 8 9 11 12 13 14 15 16
95, action, 6 7 8 9 11 12 13 14 15 16
96, activ, 9 10 11 12 14 15
97, actor, 7
98, actual, 1 9 10 11 12 13 16
99, ad, 1 2 3 4 9 10 11 12 14 15 16
100, ada, 1
101, adam, 5 6 10 12 13 14 15 16
102, adamantin, 13 14
103, adapt, 11
104, add, 9 10 11 13 14 15 16
105, adder, 15
106, addit, 9 10 11 12 14 15
107, address, 1 2 9 10 11 12 14 15 16
108, addressd, 8
109, ade, 13
110, adept, 9
111, adequ, 10 11 12
112, adher, 13 14 15 16
113, adhes, 10
114, adieu, 7 8
115, adjac, 12
116, adject, 11
117, adjoin, 15
118, adjourn, 1 12 16
119, adjudg, 14 16
120, adjudgd, 13
121, adjust, 9 10 12
122, administr, 9 10 11 12
123, admir, 7 13 14 15 16
124, admirest, 15
125, admiss, 9 11
126, admit, 15 16
127, admonish, 13 15 16
128, adn, 13
129, adoni, 13 15
130, adopt, 1 5 10 11 14
131, ador, 8 13 14 15 16
132, adorn, 13 14 15 16
133, adramelech, 14
134, adria, 13
135, adrift, 16
136, adroit, 10
137, adult, 9
138, adulter, 14
139, adulteri, 16
140, adust, 14 16
141, advanc, 4 7 9 10 11 12 13 14 15 16
142, advantag, 2 3 9 10 11 12 13 14 15 16
143, adventur, 1 4 5 6 13 14 15 16
144, advers, 5 13 14 15 16
145, adversari, 13 14 15 16
146, advic, 1 2 9 10 13 14
147, advis, 1 9 11 12 13 14 15 16
148, advisori, 10 11
149, advoc, 9 10 11 16
150, aegaean, 13
151, aeneid, 9
152, aereal, 13 14 15 16
153, aeri, 14 15 16
154, aeschylu, 9
155, aesthet, 11 12
156, aetna, 13
157, afer, 16
158, affabl, 15
159, affair, 4 6 7 11 13 16
160, affect, 5 7 9 10 11 12 13 14 16
161, affection, 3
162, affili, 9 11
163, affirm, 14 15
164, afflict, 7 13 14 15 16
165, afford, 3 9 10 11 12 14 15 16
166, affright, 15
167, affront, 13 15
168, afloat, 13
169, afor, 3
170, afraid, 1 2 3 4 13 16
171, afresh, 13
172, afric, 13
173, african, 9 10
174, afternoon, 9 11 15
175, afterward, 1 4
176, agap, 14
177, age, 1 2 4 6 7 8 10 12 13 15 16
178, agenc, 10 11 12
179, agenda, 9
180, agent, 10 15
181, aggrav, 13 16
182, aggreg, 10 16
183, aghast, 13
184, agit, 15
185, ago, 1 4 6 9 10 11 12
186, agon, 11 12
187, agoni, 2 13 15 16
188, agra, 16
189, agre, 3 10 11 12
190, agreement, 9 10 11
191, agricultur, 9 10 11 12
192, agronomi, 10
193, aguera, 12
194, ah, 1 3 8 14 16
195, ahaz, 13
196, ahead, 10 12
197, ahem, 1
198, aialon, 16
199, aid, 10 11 13 14 15 16
200, aiim, 11 12
201, aim, 5 9 11 12 13 14 15
202, aimest, 16
203, air, 1 2 3 4 6 12 13 14 15 16
204, airi, 13
205, airport, 11
206, ala, 1 5 6 7 8 16
207, alabast, 14
208, alack, 8
209, alacr, 13
210, aladul, 16
211, alan, 10 12
212, alarm, 2 3 13 14 16
213, albeit, 5 11
214, alcairo, 13
215, alchemi, 13
216, alchemist, 14
217, alcid, 13
218, alcin, 14 15
219, alderman, 12
220, aleian, 15
221, alert, 10
222, alexand, 12
223, alexandria, 12
224, algebra, 9
225, algier, 16
226, algorithm, 10 11 12
227, alic, 1 2 3 4
228, alien, 13 14 15 16
229, aliena, 5 6 7 8
230, alight, 13 14
231, alik, 10 13 14 15 16
232, aliment, 14
233, aliv, 3 4 11 16
234, allay, 15 16
235, alleg, 14
236, allegi, 11 13 14
